ip,server,entity,first_used_at,first_sent_per_ip,first_error,first_limit,first_offset,first_launch_success,safe_duration_days,first_error_day,first_netblock_day,maximum_safe_volume,average_safe_growth_rate,average_time_gap_min
107.6.171.226,s_cmh2_6101,cmh2,2026-04-13 22:03:00,13900,Rate limit DKIM,13900,6412.0,0,0.0,2026-04-13 22:03:00,,0,0.0,0.0
107.6.171.227,s_cmh2_6101,cmh2,2026-04-12 23:47:17,13700,No error,13700,259700.0,0,0.0,2026-04-12 23:47:17,,0,0.0,0.0
107.6.171.228,s_cmh2_6101,cmh2,2026-04-12 23:47:17,13700,No error,13700,259700.0,0,0.0,2026-04-12 23:47:17,,0,0.0,0.0
107.6.171.229,s_cmh2_6101,cmh2,2026-04-13 22:03:00,13900,Rate limit SPF,13900,6412.0,0,0.0,2026-04-13 22:03:00,,0,0.0,0.0
107.6.171.230,s_cmh2_6101,cmh2,2026-04-12 23:47:17,13700,No error,13700,259700.0,0,0.0,2026-04-12 23:47:17,,0,0.0,0.0
135.125.140.36,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
135.125.140.51,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
135.125.140.52,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
138.226.244.74,s_cmh8_3617,cmh8,2026-04-12 01:14:10,3100,No error,9300,44700.0,1,0.08332175925925926,2026-04-12 03:14:09,,33479,-0.12222969015407373,18.796
138.226.244.75,s_cmh8_3617,cmh8,2026-04-12 01:26:10,2830,No error,5660,60700.0,1,0.0,2026-04-12 01:26:10,,0,0.0,0.0
138.226.244.76,s_cmh8_3617,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.06445601851851852,2026-04-12 02:38:09,,20500,0.016880341880341865,20.94666666666667
138.226.244.77,s_cmh8_3617,cmh8,2026-04-12 01:20:11,3350,No error,6700,54000.0,1,0.043738425925925924,2026-04-12 02:23:10,,11665,0.009877085162423133,19.996666666666666
142.147.96.123,s_cmh8_3583,cmh8,2026-04-12 01:14:10,3100,No error,9300,44700.0,1,0.08332175925925926,2026-04-12 03:14:09,,23476,-0.12235627243255473,18.796
142.147.96.124,s_cmh8_3583,cmh8,2026-04-13 15:55:18,3280,No error,9840,50340.0,1,0.4291550925925926,2026-04-14 02:13:17,,13420,0.011262954215580824,26.997500000000002
142.147.96.125,s_cmh8_3583,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.04363425925925926,2026-04-12 02:08:10,,38470,0.0128205128205128,16.41
142.147.96.126,s_cmh8_3583,cmh8,2026-04-13 13:44:32,12800,No error,38400,291270.0,0,0.11164351851851852,2026-04-13 16:25:18,,57300,-0.14665570175438597,45.589999999999996
144.31.117.11,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,No error,24000,5000.0,0,0.0,2026-04-12 01:18:13,,0,0.0,0.0
144.31.117.123,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,No error,24000,5000.0,0,0.0,2026-04-12 01:18:13,,0,0.0,0.0
144.31.117.149,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,No error,24000,5000.0,0,0.0,2026-04-12 01:18:13,,0,0.0,0.0
144.31.117.98,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,No error,24000,5000.0,0,0.0,2026-04-12 01:18:13,,0,0.0,0.0
144.31.138.131,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,No error,24000,5000.0,0,0.0,2026-04-12 01:18:13,,0,0.0,0.0
144.31.139.217,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,No error,24000,5000.0,0,0.0,2026-04-12 01:18:13,,0,0.0,0.0
144.31.139.61,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,No error,24000,5000.0,0,0.0,2026-04-12 01:18:13,,0,0.0,0.0
144.31.84.7,s_cmh9_5698,cmh9,2026-04-12 14:35:16,24000,No error,24000,168000.0,0,0.0,2026-04-12 14:35:16,,0,0.0,0.0
158.69.54.111,s_cmh2_6127,cmh2,2026-04-13 22:19:18,5100,No error,5100,19312.0,1,0.0,2026-04-13 22:19:18,,0,0.0,0.0
173.236.32.74,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0
173.236.32.76,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0
173.236.32.77,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0
173.236.32.78,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,Rate limit SPF,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0
192.227.72.165,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
192.227.72.167,s_cmh11_1341,cmh11,2026-04-16 00:41:51,20000,No error,40000,120000.0,0,0.0,,,20000,0.0,0.0
192.227.72.168,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
194.54.185.171,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.172,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.173,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.177,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.178,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.179,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.180,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.181,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.182,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.183,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.184,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.185,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.187,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.188,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
194.54.185.189,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0
198.12.123.227,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.228,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.229,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.230,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.234,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.235,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.236,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.237,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.238,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.239,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.240,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.241,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,No error,15500,255000.0,0,0.022199074074074072,2026-04-13 00:42:18,,231826,0.0,0.0
198.12.123.242,s_cmh6_5940,cmh6,2026-04-13 00:20:19,15000,No error,15000,0.0,0,0.0,2026-04-13 00:20:19,,0,0.0,0.0
198.12.123.243,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,No error,15500,255000.0,0,0.022199074074074072,2026-04-13 00:42:18,,231826,0.0,0.0
198.12.123.244,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.245,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.246,s_cmh6_5940,cmh6,2026-04-13 00:20:19,15000,No error,15000,0.0,0,0.0,2026-04-13 00:20:19,,0,0.0,0.0
198.12.123.247,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.248,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.249,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,No error,15500,255000.0,0,0.022199074074074072,2026-04-13 00:42:18,,231826,0.0,0.0
198.12.123.250,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
198.12.123.251,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,No error,15500,255000.0,0,0.022199074074074072,2026-04-13 00:42:18,,231826,0.0,0.0
198.12.123.252,s_cmh6_5940,cmh6,2026-04-13 00:20:19,15000,No error,15000,0.0,0,0.0,2026-04-13 00:20:19,,0,0.0,0.0
198.12.123.253,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,No error,15500,255000.0,0,0.022199074074074072,2026-04-13 00:42:18,,231825,0.0,0.0
198.12.123.254,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,No error,12250,0.0,0,0.0,2026-04-12 01:03:21,,0,0.0,0.0
217.182.198.9,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
23.19.114.9,s_cmh2_6121,cmh2,2026-04-12 23:47:18,3200,No error,3200,12.0,1,0.0,2026-04-12 23:47:18,,0,0.0,0.0
23.231.25.47,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,Rate limit SPF,3000,360000.0,1,0.0,2026-04-12 19:46:19,,0,0.0,0.0
23.231.25.49,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.51,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.52,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.53,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.54,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.55,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.56,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.57,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,Rate limit DKIM,3000,360000.0,1,0.0,2026-04-12 19:46:19,,0,0.0,0.0
23.231.25.58,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3995,0.0,0.0
23.231.25.59,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3995,0.0,0.0
23.231.25.61,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3995,0.0,0.0
23.231.25.62,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3995,0.0,0.0
23.82.139.242,s_cmh2_6121,cmh2,2026-04-12 23:47:18,3200,No error,3200,12.0,1,0.0,2026-04-12 23:47:18,,0,0.0,0.0
5.135.75.177,s_cmh8_3656,cmh8,2026-04-12 01:14:10,3100,No error,9300,44700.0,1,0.08332175925925926,2026-04-12 03:14:09,,33715,-0.12235627243255473,18.796
5.135.75.178,s_cmh8_3656,cmh8,2026-04-12 01:26:10,2830,No error,5660,60700.0,1,0.02082175925925926,2026-04-12 01:56:09,,11920,0.0,0.0
5.135.75.179,s_cmh8_3656,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.04363425925925926,2026-04-12 02:08:10,,33670,0.0128205128205128,16.41
5.135.75.180,s_cmh8_3656,cmh8,2026-04-12 01:20:11,3350,No error,6700,54000.0,1,0.043738425925925924,2026-04-12 02:23:10,,11665,0.009877085162423133,19.996666666666666
5.135.75.181,s_cmh8_3656,cmh8,2026-04-12 01:31:37,3900,No error,3900,66360.0,1,0.0,2026-04-12 01:31:37,,0,0.0,0.0
51.161.79.217,s_cmh2_6127,cmh2,2026-04-13 22:19:18,5100,No error,5100,19312.0,1,0.0,2026-04-13 22:19:18,,0,0.0,0.0
51.254.12.38,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.00774222157090404,178.21
51.254.12.39,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.00774222157090404,178.21
51.254.12.40,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.00774222157090404,178.21
51.254.12.41,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
51.68.222.162,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,2026-04-15 11:50:25,0,0.0,0.0
51.75.164.228,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0
51.75.165.100,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0
51.75.165.108,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0
69.162.64.210,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,0.9562268518518519,,,41620,0.029420851155361312,152.99666666666667
69.162.64.212,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,3.9866319444444445,2026-04-16 00:45:07,,41619,0.029422949483078498,152.99666666666667
69.162.64.213,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,1.7152314814814815,,,41619,0.04394810481169288,189.9953846153846
69.162.64.214,s_cmh11_1388,cmh11,2026-04-12 21:59:19,5200,No error,18200,65000.0,1,0.0847337962962963,,,21998,0.036511877348113064,24.404
89.116.64.219,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.116.64.220,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.116.64.240,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,Other,6000,234000.0,0,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.14,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.18,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.21,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.26,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.28,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.45,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.48,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.8,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.9,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
91.223.3.150,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.186,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.187,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.189,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.194,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.195,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.196,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.197,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.198,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.199,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.200,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.204,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.208,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.209,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
