ip,server,entity,first_used_at,first_sent_per_ip,first_error,first_limit,first_offset,first_launch_success,safe_duration_days,first_error_day,first_netblock_day,maximum_safe_volume,average_safe_growth_rate,average_time_gap_min,avg_growth_rate,avg_time_gap_min,avg_limit_usage_ratio,avg_sent_ratio,avg_drops_per_day,max_daily_volume,target_initial_volume,target_growth_rate,target_max_safe_volume,target_time_gap_min,target_drops_per_day
135.125.140.36,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.46725773677658466,170.19875,0.328625,0.9974999999999999,8.65,100834,4800,-0.0077410818049331,77634,178.21,8.65
135.125.140.51,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.46725773677658466,170.19875,0.328625,1.0001250000000002,8.65,100834,4800,-0.0077410818049331,77634,178.21,8.65
135.125.140.52,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.4507097493110331,162.09380952380954,0.3367857142857143,1.0000952380952381,8.904761904761905,138445,4800,-0.0077410818049331,77634,178.21,8.904761904761905
138.226.244.75,s_cmh8_3617,cmh8,2026-04-12 01:26:10,2830,No error,5660,60700.0,1,0.0,2026-04-12 01:26:10,,0,0.0,0.0,0.06984572601360574,183.5923076923077,0.47525641025641024,0.7235128205128205,8.58974358974359,64710,2830,0.0,0,0.0,8.58974358974359
138.226.244.76,s_cmh8_3617,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.0644560185185185,2026-04-12 02:38:09,,20500,0.0168803418803418,20.94666666666667,0.08726009222568942,106.96925373134329,0.46738805970149255,0.9754029850746267,20.34328358208955,147875,3900,0.0168803418803418,20500,20.94666666666667,20.34328358208955
173.236.32.74,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0,-0.06107928406875776,187.88,0.9072222222222222,1.0004444444444445,5.0,31500,6000,0.0,0,0.0,5.0
173.236.32.76,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0,-0.06107928406875776,187.88,0.9072222222222222,1.0002222222222223,5.0,31500,6000,0.0,0,0.0,5.0
173.236.32.77,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0,-0.06109409888357257,187.88,0.9072222222222222,1.0002222222222223,5.0,31500,6000,0.0,0,0.0,5.0
192.227.72.165,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.4688181803041468,170.19875,0.15875,0.998,8.65,100781,4800,-0.0077410818049331,77634,178.21,8.65
192.227.72.168,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.47909361581171367,179.15657894736842,0.16126315789473686,0.9797105263157895,8.68421052631579,100781,4800,-0.0077410818049331,77634,178.21,8.68421052631579
194.54.185.171,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.25254858924961326,22.00625,0.909,0.507375,8.0,43569,5701,0.0,0,0.0,8.0
194.54.185.172,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,0.92425,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.173,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.000125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.177,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,0.792125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.178,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.000125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.179,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.000125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.180,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.181,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.182,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.183,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.184,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.185,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.187,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.188,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.189,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
217.182.198.9,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.46725773677658466,170.19875,0.328625,1.000075,8.65,100834,4800,-0.0077410818049331,77634,178.21,8.65
23.231.25.49,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1890528731362053,160.09166666666667,0.40458333333333335,1.0000833333333332,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.51,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1890528731362053,160.09166666666667,0.40458333333333335,1.0000833333333332,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.52,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898865807527648,160.09166666666667,0.40458333333333335,1.000125,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.53,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898880374076557,160.09166666666667,0.40454166666666663,1.000125,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.54,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898880374076557,160.09166666666667,0.40454166666666663,1.000125,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.55,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898846975966326,160.09166666666667,0.40454166666666663,0.9992083333333334,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.56,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898846975966326,160.09166666666667,0.40458333333333335,1.0000833333333332,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.58,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3995,0.0,0.0,1.1900264540866183,160.09166666666667,0.4046666666666667,1.0000833333333332,7.333333333333333,59655,995,0.0,3995,0.0,7.333333333333333
23.231.25.59,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3995,0.0,0.0,1.1900271274146474,160.09166666666667,0.4047083333333333,1.0000416666666667,7.333333333333333,59654,995,0.0,3995,0.0,7.333333333333333
23.231.25.61,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3995,0.0,0.0,1.1899801807103054,160.09166666666667,0.4047083333333333,1.0000416666666667,7.333333333333333,59653,995,0.0,3995,0.0,7.333333333333333
23.231.25.62,s_cmh9_5689,cmh9,2026-04-12 19:46:19,995,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3995,0.0,0.0,1.1899811899256312,160.09166666666667,0.4047083333333333,1.0000416666666667,7.333333333333333,59653,995,0.0,3995,0.0,7.333333333333333
5.135.75.177,s_cmh8_3656,cmh8,2026-04-12 01:14:10,3100,No error,9300,44700.0,1,0.0833217592592592,2026-04-12 03:14:09,,33715,-0.1223562724325547,18.796,0.26696842076367405,112.81894736842105,0.42189473684210527,0.632421052631579,12.578947368421053,52042,3100,-0.1223562724325547,33715,18.796,12.578947368421053
5.135.75.178,s_cmh8_3656,cmh8,2026-04-12 01:26:10,2830,No error,5660,60700.0,1,0.0208217592592592,2026-04-12 01:56:09,,11920,0.0,0.0,0.04698605383517064,306.36571428571426,0.4997857142857143,0.5495,3.857142857142857,21030,2830,0.0,11920,0.0,3.857142857142857
5.135.75.179,s_cmh8_3656,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.0436342592592592,2026-04-12 02:08:10,,33670,0.0128205128205128,16.41,0.09478915500016115,188.04130434782613,0.36930434782608695,0.8955217391304346,7.608695652173913,45843,3900,0.0128205128205128,33670,16.41,7.608695652173913
5.135.75.180,s_cmh8_3656,cmh8,2026-04-12 01:20:11,3350,No error,6700,54000.0,1,0.0437384259259259,2026-04-12 02:23:10,,11665,0.0098770851624231,19.996666666666663,0.3589253150927736,196.55045454545453,0.49222727272727274,0.48740909090909085,6.2727272727272725,62760,3350,0.0098770851624231,11665,19.996666666666663,6.2727272727272725
5.135.75.181,s_cmh8_3656,cmh8,2026-04-12 01:31:37,3900,No error,3900,66360.0,1,0.0,2026-04-12 01:31:37,,0,0.0,0.0,0.018954879364044264,161.988,0.7832333333333333,0.0,8.466666666666667,61850,3900,0.0,0,0.0,8.466666666666667
51.254.12.38,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007742221570904,178.21,0.4680839157936331,170.19875,0.3285,0.99705,8.65,100834,4800,-0.007742221570904,77634,178.21,8.65
51.254.12.39,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007742221570904,178.21,0.4680901586809534,170.19875,0.3285,1.0001,8.65,100834,4800,-0.007742221570904,77634,178.21,8.65
51.254.12.40,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007742221570904,178.21,0.4680901586809534,170.19875,0.3285,1.0001,8.65,100834,4800,-0.007742221570904,77634,178.21,8.65
51.254.12.41,s_cmh11_1343,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.462625747251099,166.04756097560974,0.33265853658536587,1.0000487804878049,8.75609756097561,118037,4800,-0.0077410818049331,77634,178.21,8.75609756097561
51.75.165.100,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3000,3000,0.0,0,0.0,1.0
51.75.165.108,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3000,3000,0.0,0,0.0,1.0
69.162.64.210,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,0.956226851851852,,,41620,0.0294208511553613,152.99666666666667,0.029420851155361312,152.99666666666667,0.2588888888888889,1.0,7.222222222222222,41620,4800,0.0294208511553613,41620,152.99666666666667,7.222222222222222
69.162.64.212,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,3.986631944444445,2026-04-16 00:45:07,,41619,0.0294229494830784,152.99666666666667,0.22641936336005541,521.9181818181819,0.30272727272727273,0.9102727272727272,6.2727272727272725,41619,4800,0.0294229494830784,41619,152.99666666666667,6.2727272727272725
69.162.64.213,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,1.7152314814814815,,,41619,0.0439481048116928,189.9953846153846,0.04394810481169288,189.9953846153846,0.20723076923076922,1.0,6.846153846153846,41619,4800,0.0439481048116928,41619,189.9953846153846,6.846153846153846
69.162.64.214,s_cmh11_1388,cmh11,2026-04-12 21:59:19,5200,No error,18200,65000.0,1,0.0847337962962963,,,21998,0.036511877348113,24.404,0.036511877348113064,24.404,0.28300000000000003,1.0,3.4,21998,5200,0.036511877348113,21998,24.404,3.4
89.117.12.21,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0,0.11521559761075761,208.60500000000002,0.9032,0.9107,6.7,58000,6000,0.0,0,0.0,6.7
89.117.12.9,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0,0.10927562584244489,198.67142857142858,0.9078095238095238,0.7827142857142858,6.809523809523809,73000,6000,0.0,0,0.0,6.809523809523809
91.223.3.150,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7097095581021042,172.8376470588235,0.5108529411764706,0.9073235294117648,9.470588235294118,115573,3000,0.0,0,0.0,9.470588235294118
91.223.3.186,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7097116875804994,172.8376470588235,0.5108529411764706,0.9118235294117647,9.470588235294118,115572,3000,0.0,0,0.0,9.470588235294118
91.223.3.187,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7097116875804994,172.8376470588235,0.5108823529411765,0.9118529411764706,9.470588235294118,115572,3000,0.0,0,0.0,9.470588235294118
91.223.3.189,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.709720459573101,172.8376470588235,0.5108823529411765,0.9116764705882353,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.194,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.709720459573101,172.8376470588235,0.5109117647058823,0.9118529411764706,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.195,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7097244446272303,172.8376470588235,0.5109117647058823,0.9096470588235295,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.196,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7097233567039954,172.8376470588235,0.5109411764705882,0.9155588235294118,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.198,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7097233567039954,172.8376470588235,0.5109411764705882,0.9144411764705883,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.200,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7101351518885278,172.8376470588235,0.5109705882352942,0.9706470588235295,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.204,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7101351518885278,172.8376470588235,0.5109705882352942,0.9706470588235295,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.208,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7101351518885278,172.8376470588235,0.5109705882352942,0.9706470588235295,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
91.223.3.209,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0,0.7101332872132017,172.8376470588235,0.5109705882352942,0.9739117647058824,9.470588235294118,115571,3000,0.0,0,0.0,9.470588235294118
